,Publication Title,All Science Classification Codes (ASJC),Item Title,Publication Year,in/out,use types,census,notes
1054,Sustainability (Switzerland),2308; 2105; 3305; ,"Evaluation of a regional retrofit programme to upgrade existing housing stock to reduce carbon emissions, fuel poverty and support the local supply chain",2016,in,Providing study background,,multi-source
1055,Sustainability (Switzerland),2308; 2105; 3305; ,"Does suburbanization cause ecological deterioration? An empirical analysis of Shanghai, China",2017,in,Providing study background,,
1056,Sustainability (Switzerland),2308; 2105; 3305; ,Investigating impacts of environmental factors on the cycling behavior of bicycle-sharing users,2017,in,main data source for new analysis,,
1057,Sustainability (Switzerland),2308; 2105; 3305; ,"Ecological security and ecosystem services in response to land use change in the coastal area of Jiangsu, China",2016,in,Providing study background,,
1058,Sustainability (Switzerland),2308; 2105; 3305; ,Low carbon urban transitioning in Shenzhen: A multi-level environmental governance perspective,2016,in,others,,
1059,Sustainability (Switzerland),2308; 2105; 3305; ,How does the environmental load of Household consumption depend on residential location?,2016,in,Providing study background,y,
1060,Sustainability (Switzerland),2308; 2105; 3305; ,A Geographic Information System (GIS)-Based analysis of social capital data: Landscape factors that correlate with trust,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
1062,UbiComp 2014 - Adjunct Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing,1712; ,A noise map of New York City,2014,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1063,Rheumatology (United Kingdom),2736; 2745; ,Predictors of access to care in juvenile systemic lupus erythematosus: Evidence from the UK JSLE Cohort Study,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
1064,Proceedings of SPIE - The International Society for Optical Engineering,3104;  2504;  2208;  2604;  1706; ,Crop classification using temporal stacks of multispectral satellite imagery,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1065,Proceedings of SPIE - The International Society for Optical Engineering,3104;  2504;  2208;  2604;  1706; ,Build great web search applications quickly with Solr and Blacklight,2010,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1066,WEEC 2015 - World Energy Engineering Congress,2102; 2103; ,A review of Biofuels in India: Challenges and opportunities,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
1067,DECISION,,Economic growth versus climate balancing: some reflections on the sustainable management of forest resource in India,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
1068,BMJ (Online),2700; ,Impact of centralising acute stroke services in English metropolitan areas on mortality and length of hospital stay: Difference-in-differences analysis,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
1069,BMJ (Online),2700; ,Effect of offering different levels of support and free nicotine replacement therapy via an English national telephone quitline: Randomised controlled trial,2012,in,"ancillary data source for new analysis (e.g., as base map)",,
1070,BMJ (Online),2700; ,Angiotensin receptor blockers and risk of cancer: Cohort study among people receiving antihypertensive drugs in UK General Practice Research Database,2012,in,"ancillary data source for new analysis (e.g., as base map)",,
1071,BMJ (Online),2700; ,"When is a ""free"" registrar in clinic not free?",2011,in,"ancillary data source for new analysis (e.g., as base map)",,
1072,"Proceedings of 2016 SAI Computing Conference, SAI 2016",,Fuzzy partition technique for clustering Big Urban dataset,2016,in,main data source for new analysis,,experiment 2 algs in OGD datasets and compare
1073,2012 Second International Workshop on Developing Tools as Plug-Ins (TOPI),1712; ,OLAP2DataCube: An Ontowiki plug-in for statistical data publishing,2012,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1074,Sensors (Switzerland),,Context Management Platform for Tourism Applications,2013,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1075,Natural Hazards and Earth System Sciences,,On the occurrence of rainstorm damage based on home insurance and weather data,2015,in,Providing study background,,
1076,Natural Hazards and Earth System Sciences,,Efficient pan-European river flood hazard modelling through a combination of statistical and physical models,2017,in,main data source for new analysis,,
1077,Natural Hazards and Earth System Sciences,,Probabilistic flood extent estimates from social media flood observations,2017,in,main data source for new analysis,,
1078,Natural Hazards and Earth System Sciences,,Partnerships for disaster risk insurance in the EU,2016,in,main data source for new analysis,,
1079,Natural Hazards and Earth System Sciences,,Spatio-temporal modelling of lightning climatologies for complex terrain,2017,in,main data source for new analysis,,
1080,"Proceedings - IEEE International Conference on Information Processing, ICIP 2015",1710; 1705; ,Secure sharing of personal health records on cloud using key-aggregate cryptosystem,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1081,Nederlandse Geografische Studies,,Same neighbourhood... different views? A confrontation of internal and external neighbourhood reputations,2009,in,Providing study background,,
1082,2017 31st International Conference on Advanced Information Networking and Applications Workshops (WAINA),,Apply Deep Learning Neural Network to Forecast Number of Tourists,2017,in,main data source for new analysis,,data.go.jp
1084,2015 IEEE 39th Annual Computer Software and Applications Conference,,A Modeling Approach to Big Data Based Recommendation Engine in Modern Health Care Environment,2015,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,terrible and confusing writing 
1085,Journal of Public Health (United Kingdom),,Social inequalities in oral cancer literacy in an adult population in a multicultural deprived area of the UK,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
1086,Journal of Public Health (United Kingdom),,Smoking patterns in Great Britain: The rise of cheap cigarette brands and roll your own (RYO) tobacco,2015,in,aiding result interpreting,,
1087,Journal of Public Health (United Kingdom),,"Geographical inequalities in uptake of NHS-funded eye examinations: Small area analysis of Leeds, UK",2015,in,"ancillary data source for new analysis (e.g., as base map)",,
1088,Journal of Public Health (United Kingdom),,Effect of a telephonic alert system (Healthy outlook) for patients with chronic obstructive pulmonary disease: A cohort study with matched controls,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
1089,Journal of Public Health (United Kingdom),,"Access, continuity of care and consultation quality: Which best predicts urgent cancer referrals from general practice?",2014,in,"ancillary data source for new analysis (e.g., as base map)",,
1090,Journal of Public Health (United Kingdom),,Characteristics of general practices associated with numbers of elective admissions,2012,in,aiding result interpreting,,
1091,2016 IEEE 3rd World Forum on Internet of Things (WF-IoT),,Monitoring data stream reliability in smart city environments,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1093,"Proceedings of 2011, 10th IEEE International Conference on Cybernetic Intelligent Systems, CIS 2011",1709; 1702; 1705; ,A software system for data mining with twitter,2011,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1094,"Proceedings - 9th IEEE International Symposium on Parallel and Distributed Processing with Applications Workshops, ISPAW 2011 - ICASE 2011, SGH 2011, GSDP 2011",1712; 1706; ,Development of the RESTful JPIC SDK for the application using public information,2011,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1095,"Proceedings of the 2016 12th International Conference on Innovations in Information Technology, IIT 2016",1710;  1706; ,Facial features monitoring for real time drowsiness detection,2017,In,"Providing study background (describing study area or population, support a claim in introduction/motivation)",,
1096,"2015 Systems and Information Engineering Design Symposium, SIEDS 2015",2604; 1703; ,Crime prediction using Twitter sentiment and weather,2015,in,main data source for new analysis,,
1097,"2015 E-Health and Bioengineering Conference, EHB 2015",2718; 1502; ,RoDisAir: Romanian diseases and air pollution observations put together,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
1098,IJCAI International Joint Conference on Artificial Intelligence,1702; ,Demand prediction and placement optimization for electric vehicle charging stations,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
1099,"American Society of Mechanical Engineers, Fluids Engineering Division (Publication) FEDSM",2200; ,Multi-scale simulations of climate-change influence on Chicago heat Island,2014,in,main data source for new analysis,,
1100,"Recent Researches in Social Science, Digital Convergence, Manufacturing and Tourism - IC-SSSE-DC'11, ICM-CTS'11",3312; 2209; 1706; 1409; ,Can we blame the housing boom for causing the economic recession in Estonia?,2011,in,others,,
1101,"Proceedings - 2013 International Conference on Availability, Reliability and Security, ARES 2013",2213; ,DNSSEC: Interoperability challenges and transition mechanisms,2013,in,others,,used to test a method and make suggestions
1102,health:,,"Using liminality to understand mothers’ experiences of long-term breastfeeding: ‘Betwixt and between’, and ‘matter out of place’",2015,in,Providing study background,,
1103,Proceedings of the ACM SIGMOD International Conference on Management of Data,1712;  1710; ,An effective syntax for bounded relational queries,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1104,Proceedings of the ACM SIGMOD International Conference on Management of Data,1712;  1710; ,Data Polygamy: The many-many relationships among urban spatio-temporal data sets,2016,in,"used for result evaluation (e.g., as ground truth)",,
1105,Proceedings of the ACM SIGMOD International Conference on Management of Data,1712;  1710; ,Fast Searchable encryption with tunable locality,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1106,Proceedings of the ACM SIGMOD International Conference on Management of Data,1712;  1710; ,Utility-aware ridesharing on road networks,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1107,Proceedings of the ACM SIGMOD International Conference on Management of Data,1712;  1710; ,Exploiting common patterns for tree-structured data,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1108,Proceedings of the ACM SIGMOD International Conference on Management of Data,1712;  1710; ,Querying and exploring polygamous relationships in urban spatio-temporal data sets,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1110,Criminology and Public Policy,,"Effects of Prohibition and Decriminalization on Drug Market Conflict: Comparing Street Dealers, Coffeeshops, and Caf茅s in Amsterdam",2016,in,Providing study background,,
1111,2012 45th Hawaii International Conference on System Sciences,2200; ,Towards Semantically Enabled Next Generation Community Health Information Portals: The PopSciGrid Pilot,2012,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1112,Conference on Human Factors in Computing Systems - Proceedings,1712;  1709;  1704; ,Powering the cellphone revolution: Findings from mobile phone charging trials in off-grid Kenya,2013,in,Providing study background,,
1113,ICIQ 2011 - Proceedings of the 16th International Conference on Information Quality,2213; 1710; ,Active repair of data quality rules,2011,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1114,GEOCROWD 2013 - Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information,1710; ,MoveSafe: A framework for transportation mode-based targeted alerting in disaster response,2013,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1115,Resources,,Environmental siting framework for wind farms: A case study in the Dodecanese Islands,2016,in,main data source for new analysis,,
1116,Journal of the Royal Statistical Society. Series A: Statistics in Society,1804; 2002; 3301; 2613; ,Spatially modelling the association between access to recreational facilities and exercise: The 'Multi-ethnic study of atherosclerosis',2016,in,main data source for new analysis,,
1117,Geoenvironmental Disasters,,The failure of the Stava Valley tailings dams (Northern Italy): numerical analysis of the flow dynamics and rheological properties,2017,in,main data source for new analysis,,
1118,"2015 IEEE Conference on Visual Analytics Science and Technology, VAST 2015 - Proceedings",1707; 1706; ,Urbane: A 3D framework to support data driven decision making in urban development,2015,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1120,2014 IEEE 28th International Parallel and Distributed Processing Symposium,2200; ,BFS and Coloring-Based Parallel Algorithms for Strongly Connected Components and Related Problems,2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1121,"IEEE ISSNIP 2014 - 2014 IEEE 9th International Conference on Intelligent Sensors, Sensor Networks and Information Processing, Conference Proceedings",2207;  2208;  1702;  1705; ,Continuous outlier detection on uncertain data streams,2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1122,Energy Procedia,,Primary Energy Factors for Different District Heating Networks: An Estonian Example,2016,in,main data source for new analysis,,
1123,Energy Procedia,,Material Based Urban Modeling: An Approach to Integrate Smart Materials in a Near-Zero Community Design,2017,in,main data source for new analysis,,
1124,"Proceedings of the 2nd ACM SIGSPATIAL Workshop on Smart Cities and Urban Analytics, UrbanGIS 2016",,Ontology-based urban data exploration,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1125,"2016 IEEE 32nd International Conference on Data Engineering Workshops, ICDEW 2016",1712; ,Playing LEGO with JSON: Probabilistic joins over attribute-value fragments,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1126,Transportation Research Part C: Emerging Technologies,,Optimal road design through ecologically sensitive areas considering animal migration dynamics,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
1127,E3S Web of Conferences,,Real-time forecasts of flood hazard and impact: Some UK experiences,2016,in,main data source for new analysis,,
1128,"Proceedings of the 7th International Conference on Future Energy Systems, e-Energy 2016",2102; 1705; ,A network calculus foundation for smart-grids where demand and supply vary in space and time,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1129,2016 13th Web Information Systems and Applications Conference (WISA),1710; 1706; 1705; ,DQFIRD: Towards Data Quality-Based Filtering and Ranking of Datasets for Data Portals,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1130,2016 13th Web Information Systems and Applications Conference (WISA),1710; 1706; 1705; ,Towards Interactive Gathering of DUV-Based Dataset Usage Information,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,edge case. The system is for the OGD and linked open data
1131,2014 IEEE 28th International Conference on Advanced Information Networking and Applications,,Open Government Data Visualization System to Facilitate Evidence-Based Debate Using a Large-Scale Interactive Display,2014,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1132,"Gender, Place and Culture",,Gendered division of labour and feminisation of responsibilities in Kenya; implications for development interventions [La divisi贸n del trabajo por g茅nero y la feminizaci贸n de las responsabilidades en Kenia; implicancias para las intervenciones de desarrollo],2016,in,Providing study background,,
1133,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,1712;  1710; ,Crime rate inference with big data,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1134,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,1712;  1710; ,Predictive modeling for public health: Preventing childhood lead poisoning,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
1135,2013 17th International Conference on Information Visualisation,2200;  1700;  1712;  1711;  1707; ,Visual and Interactive Exploration of a Large Collection of Open Datasets,2013,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1136,ASIA CCS 2016 - Proceedings of the 11th ACM Asia Conference on Computer and Communications Security,,FSSR: Fine-grained EHRs sharing via similarity-based recommendation in cloud-assisted eHealthcare system,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1137,Journal of Soil and Water Conservation,,"Irrigation with treated municipal wastewater in Indiana, United States",2015,in,Providing study background,,
1138,2015 Fourth International Conference on Agro-Geoinformatics (Agro-geoinformatics),1710; 3305; ,Using semantic similarity model to improve OGC web services matching accuracy,2015,in,"used for result evaluation (e.g., as ground truth)",,
1139,IEEE Transactions on Big Data,,A New Methodology for Storing Consistent Fuzzy Geospatial Data in Big Data Environment,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,data.gouv.fr
1140,Transfer: European Review of Labour and Research,,Negotiated responses to the crisis in the Baltic countries,2013,in,others,,
1141,Proceedings of the VLDB Endowment,1701; 1700; ,Bounded conjunctive queries,2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,multi-source
1142,UbiComp 2015 - Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing,1712; ,Bike sharing station placement leveraging heterogeneous urban open data,2015,in,main data source for new analysis,,
1143,Proceedings of the ACM Conference on Computer and Communications Security,1712;  1705; ,Inference attacks on property-preserving encrypted databases,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
1144,Seizure,2728; 2808; 2700; ,Nurse-led epilepsy follow-up clinic in India: Is it feasible and acceptable to patients? A pilot study,2014,in,Providing study background,,
1145,UbiComp 2014 - Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing,1712; ,Diagnosing New York city's noises with ubiquitous data,2014,in,main data source for new analysis,,
1147,Gerontologist,2717; 2909; 2700; ,Multiple levels of influence on older adults' attendance and adherence to community exercise classes,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
1148,"2015 IEEE 15th International Conference on Environment and Electrical Engineering, EEEIC 2015 - Conference Proceedings",2305; 2208; ,Short-term load forecasting for smart water and gas grids: A comparative evaluation,2015,in,others,,used to compare among different methods
1149,Medicina (Lithuania),2700; ,Clinical and pathological findings of fatal 2009-2010 pandemic influenza A (H1N1) infection in Estonia,2012,in,main data source for new analysis,,
1150,Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,1712;  1710;  1708; ,Querying Big Data by Accessing Small Data,2015,in,Providing study background,,
1151,2011 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology,1702;  1705; ,TripleCloud: An Infrastructure for Exploratory Querying over Web-Scale RDF Data,2011,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1152,"2012 IEEE Conference on Computational Intelligence and Games, CIG 2012",2614;  2605;  2208;  1702; ,Generating interesting Monopoly boards from open data,2012,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1153,"2014 IEEE High Performance Extreme Computing Conference, HPEC 2014",1712; ,Characterization of semi-synthetic dataset for big-data semantic analysis,2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1154,"2017 7th International Conference on Cloud Computing, Data Science & Engineering - Confluence",,Multi-modal travel in India: A big data approach for policy analytics,2017,in,main data source for new analysis,,
1156,Environment and Planning B: Urban Analytics and City Science,1900; 2300; ,Using Foursquare place data for estimating building block use,2017,in,"used for result evaluation (e.g., as ground truth)",,
1157,Environment and Planning B: Urban Analytics and City Science,1900; 2300; ,Streetscape skeleton measurement and classification,2017,in,main data source for new analysis,,multi-source
1158,2016 Eighth International Conference on Knowledge and Systems Engineering (KSE),1712;  2204;  1706;  1709; ,Cloud data architecture applied to urban management,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1159,"2013 Nirma University International Conference on Engineering, NUiCONE 2013",2200; ,Wireless sensor network in mango farming,2013,in,Providing study background,,
1160,Procedia Engineering,2200; ,Regression Models of Highway Traffic Crashes: A Review of Recent Research and Future Research Needs,2017,in,Providing study background,,
1161,Procedia Engineering,2200; ,Piloting a Healthy Street Food Venture in Kenya: Lessons Learned,2015,in,Providing study background,y,
1162,Procedia Engineering,2200; ,Assessment of urban ecosystem services using ecosystem services reviews and GIS-based tools,2015,in,main data source for new analysis,,
1163,Procedia Engineering,2200; ,Automatic Logical Inconsistency Detection in the National Bridge Inventory,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
1164,Journal of Public Health Management and Practice,2739; 2719; ,Data for community health assessment in rural Colorado: A comparison of electronic health records to public health surveys to describe childhood obesity,2017,in,"ancillary data source for new analysis (e.g., as base map)",,https://demography.dola.colorado.gov/data/
1166,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,A parallel tabu search algorithm with solution space partition for cohesive clustering problems,2015,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1167,"Proceedings - 2012 ASE/IEEE International Conference on Privacy, Security, Risk and Trust and 2012 ASE/IEEE International Conference on Social Computing, SocialCom/PASSAT 2012",2213; 1708; ,Characterizing urban landscapes using geolocated tweets,2012,in,"used for result evaluation (e.g., as ground truth)",,
1168,"Proceedings - 5th IEEE International Conference on Mobile Cloud Computing, Services, and Engineering, MobileCloud 2017",1712; ,On Supporting Contract-Aware IoT Dataspace Services,2017,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1169,2016 International Conference on Research Advances in Integrated Navigation Systems (RAINS),,Performance analysis using J48 decision tree for Indian corporate world,2016,in,main data source for new analysis,,
1170,Annals of Data Science,,Proposal of New Objective Measures for Mining Association Rules: Cannibalization and Unexpectedness,2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1171,Energy and Environmental Science,2310; 2104; 2105; 2304; ,Global and local impacts of UK renewable energy policy,2013,in,others,,
1172,Canadian Geographer,,Using multiple disparate data sources to map heat vulnerability: Vancouver case study,2016,in,main data source for new analysis,,
1173,ICSDM 2011 - Proceedings 2011 IEEE International Conference on Spatial Data Mining and Geographical Knowledge Services,1712;  1706; ,Discovering partial spatio-temporal co-occurrence patterns,2011,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1174,CEUR Workshop Proceedings,,KisanVikas - Android based ICT solution in Indian agriculture to assist farmers,2015,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1175,CEUR Workshop Proceedings,,Towards emergency vehicle routing using Geolinked Open Data: The case study of the Municipality of Catania,2014,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1176,CEUR Workshop Proceedings,,Regerator: A registry generator for blockchain,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1177,CEUR Workshop Proceedings,,Exploring media transparency with multiple views,2016,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1178,CEUR Workshop Proceedings,,The case study of an Australian crime dataset,2016,in,main data source for new analysis,,
1179,"2017 IEEE 7th Annual Computing and Communication Workshop and Conference, CCWC 2017",,Collision analysis of driving scenarios,2017,in,main data source for new analysis,,
1180,Environmental Science and Technology,2300; ,How Much Will It Cost to Monitor Microbial Drinking Water Quality in Sub-Saharan Africa?,2017,in,main data source for new analysis,,
1181,Environmental Science and Technology,2300; ,Using cellular communication networks to detect air pollution,2016,in,main data source for new analysis,,
1182,Environmental Science and Technology,2300; ,A Techno-Economic Assessment of Hybrid Cooling Systems for Coal- and Natural-Gas-Fired Power Plants with and without Carbon Capture and Storage,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
1183,"Proceedings - 2014 IEEE International Conference on Semantic Computing, ICSC 2014",1712; ,Development of a semi-synthetic dataset as a testbed for big-data semantic analytics,2014,in,Creating a composite dataset,,
1184,Medicine (United States),2700; ,Sleep time and pattern of adult individuals in primary care in an Asian urbanized community A cross-sectional study,2016,in,aiding result interpreting,,
1185,"IEEE 2nd International Smart Cities Conference: Improving the Citizens Quality of Life, ISC2 2016 - Proceedings",,Estimating urban mobility with open data: A case study in Bologna,2016,in,main data source for new analysis,,
1186,Journal of Water Resources Planning and Management,2312; 2205; ,Determining the optimal BMP arrangement under current and future climate regimes: Case study,2017,in,others,,https://catalog.data.gov/dataset/loading-simulation-program-c  used as a method reference
1187,Institution of Chemical Engineers Symposium Series,,Modelling the human and economic costs of major industrial accidents,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
1188,Land,,Hydrological response to ~30 years of agricultural surface water management,2017,in,main data source for new analysis,,
1189,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",2207;  1708; ,Columnar NoSQL CUBE: Agregation operator for columnar NoSQL data warehouse,2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1190,"Resources, Conservation and Recycling",,The influence of collection facility attributes on household collection rates of electronic waste: The case of televisions and computer monitors,2011,in,main data source for new analysis,,"multi-source, multi-purpose"
1191,"Resources, Conservation and Recycling",,"Optimisation of the economic, environmental and administrative efficiency of the municipal waste management model in rural areas",2015,in,main data source for new analysis,y,
1193,"Proceedings of the Workshop on Electric Vehicle Systems, Data, and Applications, EV-SYS 2016",,Energy loss minimization for vehicular energy network routing,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1194,2016 IEEE/WIC/ACM International Conference on Web Intelligence (WI),2200; ,Mining Social Media Content for Crime Prediction,2016,in,main data source for new analysis,,multi source
1195,Geografisk Tidsskrift - Danish Journal of Geography ,,Destination cities of European exchange students,2016,in,main data source for new analysis,,
1196,Journal of Contemporary China,,"Challenging, but not Trouble-Making: cultural elites in China鈥檚 urban heritage preservation",2016,in,others,,
1197,ENSsys 2014 - Proceedings of the 2nd International Workshop on Energy Neutral Sensing Systems,2102; 2103; 1706; ,Energy harvesting framework for network simulator 3 (ns-3),2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1198,"International Conference on Information and Knowledge Management, Proceedings",1400;  1800; ,DeExcelerator: A framework for extracting relational data from partially structured documents,2013,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1199,WIT Transactions on Ecology and the Environment,,Introducing GIS-based simulation tools to support rapid response in wildland fire fighting,2012,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1200,"1st International Workshop on Inclusive Web Programming - Programming on the Web with Open Data for Societal Applications, IWP 2014 - Proceedings",,Emerging trends: Apps in event management,2014,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1201,"1st International Workshop on Inclusive Web Programming - Programming on the Web with Open Data for Societal Applications, IWP 2014 - Proceedings",,Building apps with open data in India: An experience,2014,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1202,2016 IEEE Systems and Information Engineering Design Symposium (SIEDS),1710; 2207; ,Approach for mapping data to client projects,2016,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1203,2012 12th UK Workshop on Computational Intelligence (UKCI),1703; 1702; ,Measuring change in fuzzy concept lattices,2012,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1204,"2016 IEEE International Conference on Communications, ICC 2016",2208;  1705; ,Secure and privacy-aware proxy mobile IPv6 protocol for vehicle-to-grid networks,2016,in,Providing study background,,
1205,2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA),2207; 1706; 1702; ,Spatio-temporal reasoning and decision support for smart energy systems,2016,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1206,"Proceedings - 12th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGrid 2012",2604; 1703; ,Data outsourcing simplified: Generating data connectors from confidentiality and access policies,2012,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1207,"Proceedings - 13th IEEE International Conference on Ubiquitous Intelligence and Computing, 13th IEEE International Conference on Advanced and Trusted Computing, 16th IEEE International Conference on Scalable Computing and Communications, IEEE International Conference on Cloud and Big Data Computing, IEEE International Conference on Internet of People and IEEE Smart World Congress and Workshops, UIC-ATC-ScalCom-CBDCom-IoP-SmartWorld 2016",,PublicSense: A Crowd Sensing Platform for Public Facility Management in Smart Cities,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,pdf may not be parsable.
1208,"2016 International Conference on Computing, Analytics and Security Trends (CAST)",,An innovative approach to classify and retrieve text documents using feature extraction and Hierarchical clustering based on ontology,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1209,"Proceedings on 5th International Conference on Eco-Friendly Computing and Communication Systems, ICECCS 2016",,Dynamic data leakage detection model based approach for MapReduce computational security in cloud,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1210,"2015 IEEE International Conference on Smart Grid Communications, SmartGridComm 2015",3315; 1706; 1705; ,An electric-vehicle-based supplementary power delivery system,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1211,"Proceedings - 2017 IEEE/ACM 2nd International Conference on Internet-of-Things Design and Implementation, IoTDI 2017 (part of CPS Week)",,CityGuard: A watchdog for safety-aware conflict detection in smart cities,2017,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
