Item Title,Publication Year,Publication Title,in/out,use types,census,notes,,,,,,,,,,,,,,,
Microbial community response to hydration-desiccation cycles in desert soil,2017,Scientific Reports,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Dynamic data leakage detection model based approach for MapReduce computational security in cloud,2017,"Proceedings on 5th International Conference on Eco-Friendly Computing and Communication Systems, ICECCS 2016",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Religion and Revolution: Theorizing of the Arab Spring in Accordance With the Selectorate Approach,2017,Asian Politics and Policy,in,Providing study background,,,,,,,,,,,,,,,,,
Quantification of retinal microvascular density in optical coherence tomographic angiography images in diabetic retinopathy,2017,JAMA Ophthalmology,in,others,,a method used to generate OGD inspired the study,,,,,,,,,,,,,,,
Assessing the technical impact of integrating largescale photovoltaics to the electrical power network of Bahrain,2017,Sustainable Energy Technologies and Assessments,in,Providing study background,,,,,,,,,,,,,,,,,
Impact of future urbanization on a hot summer: a case study of Israel,2017,Theoretical and Applied Climatology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Western Paran谩 suture/shear zone and the limits of Rio Apa, Rio Tebicuary and Rio de la Plata cratons from gravity data",2017,Precambrian Research,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Temporal patterns of dengue epidemics: The case of recent outbreaks in Kaohsiung,2017,Asian Pacific Journal of Tropical Medicine,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Impact of the operation of non-displaced feedwater heaters on the performance of Solar Aided Power Generation plants,2017,Energy Conversion and Management,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Fire impact on soil-water repellency and functioning of semi-arid croplands and rangelands: Implications for prescribed burnings and wildfires,2017,Geomorphology,in,Providing study background,,,,,,,,,,,,,,,,,
Assessment of wildland fire impacts on watershed annual water yield: Analytical framework and case studies in the United States,2017,Ecohydrology,in,Providing study background,,,,,,,,,,,,,,,,,
Optimizing economic operations for residential demand response programs,2017,IEEE PES Innovative Smart Grid Technologies Conference Europe,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Distribution and habitat of endangered American burying beetle in northern and southern regions,2017,Journal of Insect Conservation,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Controls on runoff generation along a steep climatic gradient in the Eastern Mediterranean,2017,Journal of Hydrology: Regional Studies,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Pre-mining trace element and radiation exposure to biota from a breccia pipe uranium mine in the Grand Canyon (Arizona, USA) watershed",2017,Environmental Monitoring and Assessment,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Development and verification of the Fraunhofer attic thermal model,2017,Journal of Building Performance Simulation,in,Providing study background,,,,,,,,,,,,,,,,,
Crop classification using temporal stacks of multispectral satellite imagery,2017,Proceedings of SPIE - The International Society for Optical Engineering,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Screening for food insecurity in six veterans administration clinics for the homeless, june-december 2015",2017,Preventing Chronic Disease,in,main data source for new analysis,,,,,,,,,,,,,,,,,
BRCA testing within the Department of Veterans Affairs: concordance with clinical practice guidelines,2017,Familial Cancer,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A case study of smart energy systems and behavioural aspects of social systems: Systems thinking approach,2017,International Journal of System of Systems Engineering,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Effect of lean processes on surgical wait times& efficiency in a tertiary care veterans affairs medical center,2017,JAMA Surgery,in,Providing study background,,,,,,,,,,,,,,,,,
Quantification of Storm-Induced Bathymetric Change in a Back-Barrier Estuary,2017,Estuaries and Coasts,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"The impact of ozone-depleting substances on tropical upwelling, as revealed by the absence of lower-stratospheric cooling since the late 1990s",2017,Journal of Climate,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Slopeland hazard and respiratory health: The example of Typhoon Morakot in Taiwan,2017,Landscape and Urban Planning,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A Geographic Information System (GIS)-Based analysis of social capital data: Landscape factors that correlate with trust,2017,Sustainability (Switzerland),in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Bucket based data deduplication technique for big data storage system,2016,"2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Integrating high resolution water footprint and GIS for promoting water efficiency in the agricultural sector: A case study of plantation crops in the Jordan Valley,2016,Frontiers in Plant Science,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Factors influencing spatial heterogeneity of female white-tailed deer harvest dynamics,2016,Wildlife Society Bulletin,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Are high penetrations of commercial cogeneration good for society?,2016,Environmental Research Letters,in,main data source for new analysis,,,,,,,,,,,,,,,,,
State Variation in School-Based Disability Services Financed by Medicaid,2016,Journal of Disability Policy Studies,in,Providing study background,,,,,,,,,,,,,,,,,
Spatiotemporal exposure modeling of ambient erythemal ultraviolet radiation,2016,Environmental Health: A Global Access Science Source,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Sources and transformations of anthropogenic nitrogen along an urban river-estuarine continuum,2016,Biogeosciences,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Knowledge and health beliefs regarding sickle cell disease among omanis in a primary healthcare setting: Cross-sectional study,2016,Sultan Qaboos University Medical Journal,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Comparison of land-atmosphere interaction in the southern la Plata Basin using satellite products and climate models,2016,"2016 IEEE Biennial Congress of Argentina, ARGENCON 2016",in,main data source for new analysis,,,,,,,,,,,,,,,,,
Remote Sensing of Landscape Change in Permafrost Regions,2016,Permafrost and Periglacial Processes,in,others,,part of review,,,,,,,,,,,,,,,
The performance of a Solar Aided Power Generation plant with diverse 鈥渃onfiguration-operation鈥?combinations,2016,Energy Conversion and Management,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Using cellular communication networks to detect air pollution,2016,Environmental Science and Technology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Experiences of women who travel to England for abortions: an exploratory pilot study,2016,European Journal of Contraception and Reproductive Health Care,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Real-time monitoring of nitrate transport in the deep vadose zone under a crop field-implications for groundwater protection,2016,Hydrology and Earth System Sciences,in,Providing study background,,,,,,,,,,,,,,,,,
Unifying data and constraint repairs,2016,Journal of Data and Information Quality,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Feature selection based on an improved cat swarm optimization algorithm for big data classification,2016,Journal of Supercomputing,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Isoscapes of 未18O and 未2H reveal climatic forcings on Alaska and Yukon precipitation,2016,Water Resources Research,in,main data source for new analysis,,reuse of research data,,,,,,,,,,,,,,,
VLnsight: Enabling open innovation in networked vehicle sensing and control,2016,IEEE Network,in,aiding result interpreting,,,,,,,,,,,,,,,,,
A network calculus foundation for smart-grids where demand and supply vary in space and time,2016,"Proceedings of the 7th International Conference on Future Energy Systems, e-Energy 2016",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Secure sharing of personal health records on cloud using key-aggregate cryptosystem,2016,"Proceedings - IEEE International Conference on Information Processing, ICIP 2015",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
A compilation of global bio-optical in situ data for ocean-colour satellite applications,2016,Earth System Science Data,in,Creating a composite dataset,,,,,,,,,,,,,,,,,
Declining trends in injuries and ambulance calls for road traffic crashes in Bahrain post new traffic laws of 2015,2016,Journal of Epidemiology and Global Health,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Year-round monitoring of contaminants in Neal and Rogers Creeks, Hood River basin, Oregon, 2011-12, and assessment of risks to salmonids",2016,PLoS ONE,in,Providing study background,,,,,,,,,,,,,,,,,
FSSR: Fine-grained EHRs sharing via similarity-based recommendation in cloud-assisted eHealthcare system,2016,ASIA CCS 2016 - Proceedings of the 11th ACM Asia Conference on Computer and Communications Security,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Knowledge of coronary heart disease risk factors among a community sample in Oman: Pilot study,2016,Sultan Qaboos University Medical Journal,in,Providing study background,,,,,,,,,,,,,,,,,
The Association Between Receipt of Guideline-Concordant Long-Term Opioid Therapy and All-Cause Mortality,2016,Journal of General Internal Medicine,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A Techno-Economic Assessment of Hybrid Cooling Systems for Coal- and Natural-Gas-Fired Power Plants with and without Carbon Capture and Storage,2016,Environmental Science and Technology,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Quantifying the impact of urban area expansion on groundwater recharge and surface runoff,2016,Hydrological Sciences Journal,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Model-based reconstruction of an epidemic using multiple datasets: Understanding influenza A/H1N1 pandemic dynamics in Israel,2016,Journal of the Royal Society Interface,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Development and Preliminary Testing of a Promotora - Delivered, Spanish Language, Counseling Intervention for Heavy Drinking among Male, Latino Day Laborers",2016,Journal of Substance Abuse Treatment,in,Providing study background,y,,,,,,,,,,,,,,,,
Automatic Logical Inconsistency Detection in the National Bridge Inventory,2016,Procedia Engineering,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Nutrient load apportionment to support the identification of appropriate water framework directive measures,2016,Biology and Environment,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Spatial and temporal variation in local stormwater infrastructure use and stormwater management paradigms over the 20th century,2016,Water (Switzerland),in,aiding result interpreting,,,,,,,,,,,,,,,,,
Exploring long term spatial vegetation trends in Taiwan from AVHRR NDVI3g dataset using RDA and HCA analyses,2016,Remote Sensing,in,Providing study background,,,,,,,,,,,,,,,,,
Electron probe X-ray microanalysis of boar and inobuta testes after the Fukushima accident,2015,Journal of Radiation Research,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Cooperative resource management in cloud-enabled vehicular networks,2015,IEEE Transactions on Industrial Electronics,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Impact of switching crop type on water and solute fluxes in deep vadose zone,2015,Water Resources Research,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"San Andreas Fault dip, Peninsular Ranges mafic lower crust and partial melt in the Salton Trough, Southern California, from ambient-noise tomography",2015,"Geochemistry, Geophysics, Geosystems",in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Influence of volcanic activity and anthropic impact in the trace element contents of fishes from the North Patagonia in a global context,2015,Environmental Monitoring and Assessment,in,aiding result interpreting,,research data resue,,,,,,,,,,,,,,,
Toward a more accurate estimate of the prevalence of hepatitis C in the United States,2015,Hepatology,in,Providing study background,,,,,,,,,,,,,,,,,
"Hidden owners, hidden profits, and poor nursing home care: A case study",2015,International Journal of Health Services,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Bike sharing station placement leveraging heterogeneous urban open data,2015,UbiComp 2015 - Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Nonlinear harmonic generation by diurnal tides,2015,Dynamics of Atmospheres and Oceans,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Student Engagement in the Classroom: The Impact of Classroom, Teacher, and Student Factors",2015,Journal of Autism and Developmental Disorders,in,Providing study background,,,,,,,,,,,,,,,,,
"Recruitment and decay rate of Acacia seedlings in the hyper-arid Arava Valley, Israel",2015,Catena,in,Providing study background,,,,,,,,,,,,,,,,,
Risk assessment of occupational injuries using Accident Severity Grade,2015,Safety Science,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The past is prologue: African American opinion toward undocumented immigration,2015,Social Science History,in,main data source for new analysis,y,,,,,,,,,,,,,,,,
Nutritional adequacy of dietary intake in women with anorexia nervosa,2015,Nutrients,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Recharge estimation and soil moisture dynamics in a Mediterranean, semi-arid karst region",2015,Hydrology and Earth System Sciences,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Examination of groundwater recharge with a calibrated/validated flow model of the deep vadose zone,2015,Journal of Hydrology,in,Providing study background,,,,,,,,,,,,,,,,,
The apparent paradox of exponentially distributed inter-earthquake intervals,2015,Natural Hazards,in,main data source for new analysis,,Got NOAA data from data.gov,,,,,,,,,,,,,,,
Optimal control of chiller plants using Bayesian network,2015,"14th International Conference of IBPSA - Building Simulation 2015, BS 2015, Conference Proceedings",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Introduction: Constructing the carceral state,2015,Journal of American History,in,others,,,,,,,,,,,,,,,,,
Shocks to a trading system: Northeast Asia poultry trade and avian influenza,2015,International Food and Agribusiness Management Review,in,Providing study background,,,,,,,,,,,,,,,,,
A new method for the optimal chiller sequencing control,2015,"14th International Conference of IBPSA - Building Simulation 2015, BS 2015, Conference Proceedings",in,Providing study background,,,,,,,,,,,,,,,,,
Sociodemographic disparities in local smoke-free law coverage in 10 states,2015,American Journal of Public Health,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Juvenile delinquency recidivism: Are black and white youth vulnerable to the same risk factors?,2015,Behavioral Disorders,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Influence of land use on the quality of runoff along Israel鈥瞫 coastal strip (demonstrated in the cities of Herzliya and Ra鈥瞐nana),2015,Hydrological Processes,in,Providing study background,,,,,,,,,,,,,,,,,
Reading comprehension and autism in the primary general education classroom,2015,Reading Teacher,in,Providing study background,,,,,,,,,,,,,,,,,
"Interdisciplinary, interinstitutional and international collaboration of family medicine researchers in Taiwan",2015,PeerJ,in,Providing study background,,,,,,,,,,,,,,,,,
Sensitivity of the modelled deposition of Caesium-137 from the Fukushima Dai-ichi nuclear power plant to the wet deposition parameterisation in NAME,2015,Journal of Environmental Radioactivity,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
JMA's regional atmospheric transport model calculations for the WMO technical task team on meteorological analyses for Fukushima Daiichi Nuclear Power Plant accident,2015,Journal of Environmental Radioactivity,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Parental intention to support video game play by children with autism spectrum disorder: An application of the theory of planned behavior,2015,"Language, Speech, and Hearing Services in Schools",in,Providing study background,,,,,,,,,,,,,,,,,
Effect of long-term periodontal care on hemoglobin a1c in type 2 diabetes,2015,Journal of Dental Research,in,main data source for new analysis,,,,,,,,,,,,,,,,,
World Meteorological Organization's model simulations of the radionuclide dispersion and deposition from the Fukushima Daiichi nuclear power plant accident,2015,Journal of Environmental Radioactivity,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Effects of dynamic crop growth on the simulated precipitation response to irrigation,2015,Earth Interactions,in,main data source for new analysis,,research data reuse,,,,,,,,,,,,,,,
Influence of the meteorological input on the atmospheric transport modelling with FLEXPART of radionuclides from the Fukushima Daiichi nuclear accident,2015,Journal of Environmental Radioactivity,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Estimating economic and resilience consequences of potential navigation infrastructure failures: A case study of the Monongahela River,2014,Transportation Research Part A: Policy and Practice,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Cost to produce and deliver cellulosic feedstock to a biorefinery: Switchgrass and forage sorghum,2014,Applied Energy,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Case study of flood mitigation and hazard management at the Texas medical center in the wake of tropical storm Allison in 2001,2014,Natural Hazards Review,in,Providing study background,,,,,,,,,,,,,,,,,
Limits of predictability in commuting flows in the absence of data for calibration,2014,Scientific Reports,in,main data source for new analysis,y,,,,,,,,,,,,,,,,
Tracing sources of organic matter in adjacent urban streams having different degrees of channel modification,2014,Science of the Total Environment,in,Providing study background,,,,,,,,,,,,,,,,,
Characterization of semi-synthetic dataset for big-data semantic analysis,2014,"2014 IEEE High Performance Extreme Computing Conference, HPEC 2014",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Development of a semi-synthetic dataset as a testbed for big-data semantic analytics,2014,"Proceedings - 2014 IEEE International Conference on Semantic Computing, ICSC 2014",in,Creating a composite dataset,,,,,,,,,,,,,,,,,
Continuous data cleaning,2014,Proceedings - International Conference on Data Engineering,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Following up on community-based developmental screening: Do young children get the services they need?,2014,Infants and Young Children,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Italian and American progress toward inclusive education: Common concerns and future directions,2014,Life Span and Disability,in,others,,,,,,,,,,,,,,,,,
Are meaningful use stage 2 certified EHRs ready for interoperability? Findings from the SMART C-CDA collaborative,2014,Journal of the American Medical Informatics Association,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
US state variation in autism insurance mandates: Balancing access and fairness,2014,Autism,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Investigation of groundwater recharge under agricultural fields using transient deep vadose zone data,2014,Vadose Zone Journal,in,Providing study background,,,,,,,,,,,,,,,,,
Development of a short-form measure of science and technology self-efficacy using rasch analysis,2014,Journal of Science Education and Technology,in,"ancillary data source for new analysis (e.g., as base map)",y,,,,,,,,,,,,,,,,
"United States hospital admissions for lumbar spinal stenosis: Racial and ethnic differences, 2000 through 2009",2013,Spine,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
DeExcelerator: A framework for extracting relational data from partially structured documents,2013,"International Conference on Information and Knowledge Management, Proceedings",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Ripe for retirement: An economic analysis of the U.S. coal fleet,2013,Electricity Journal,in,main data source for new analysis,,,,,,,,,,,,,,,,,
DNSSEC: Interoperability challenges and transition mechanisms,2013,"Proceedings - 2013 International Conference on Availability, Reliability and Security, ARES 2013",in,others,,used to test a method and make suggestions,,,,,,,,,,,,,,,
An inverse modeling method to assess the source term of the Fukushima Nuclear Power Plant accident using gamma dose rate observations,2013,Atmospheric Chemistry and Physics,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
User-driven semantic mapping of tabular data,2013,ACM International Conference Proceeding Series,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Enhanced analysis methods to derive the spatial distribution of 131I deposition on the ground by airborne surveys at an early stage after the fukushima daiichi nuclear power plant accident,2013,Health Physics,,,,,,,,,,,,,,,,,,,
Modelling seasonal influenza: The role of weather and punctuated antigenic drift,2013,Journal of the Royal Society Interface,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Parameter estimation in factor analysis: Maximum likelihood versus principal component,2013,AIP Conference Proceedings,in,Providing study background,,,,,,,,,,,,,,,,,
Three Mile Island: The driver of US nuclear power's decline?,2013,Bulletin of the Atomic Scientists,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Modelling fortification of corn masa flour with folic acid and the potential impact on Mexican-American women with lower acculturation,2013,Public Health Nutrition,in,aiding result interpreting,y,,,,,,,,,,,,,,,,
"Socioeconomic deprivation as a determinant of cancer mortality and the Hispanic paradox in Texas, USA",2013,International Journal for Equity in Health,in,main data source for new analysis,y,,,,,,,,,,,,,,,,
A Preliminary Investigation of a Telephone Administration of the Quality of Marriage Index,2013,Journal of Marital and Family Therapy,in,Providing study background,,,,,,,,,,,,,,,,,
HIV/AIDS surveillance data for New York City West Indian - Born Blacks: Comparisons with other immigrant and US-born groups,2012,American Journal of Public Health,in,Providing study background,y,,,,,,,,,,,,,,,,
Buying time: Gendered patterns in union contracts,2012,Social Problems,in,Providing study background,y,,,,,,,,,,,,,,,,
The significance of regulation and land use patterns on natural gas resource estimates in the Marcellus shale,2012,Energy Policy,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Data outsourcing simplified: Generating data connectors from confidentiality and access policies,2012,"Proceedings - 12th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGrid 2012",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
The potential role for management of U.S. Public lands in greenhouse gas mitigation and climate policy,2012,Environmental Management,in,others,,,,,,,,,,,,,,,,,
"A transaction-level analysis of spatial arbitrage: The role of habit, attention, and electronic trading",2012,Management Science,,,,,,,,,,,,,,,,,,,
Significant winter weather events and associated socioeconomic impacts (Federal Aid Expenditures) across Oklahoma: 2000-10,2012,"Weather, Climate, and Society",in,main data source for new analysis,,,,,,,,,,,,,,,,,
Active repair of data quality rules,2011,ICIQ 2011 - Proceedings of the 16th International Conference on Information Quality,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Effect of plant density and cattle manure on some agronomic traits of sweet corn under different culture methods,2011,Australian Journal of Basic and Applied Sciences,in,Providing study background,,,,,,,,,,,,,,,,,
The unsustainable trend of natural hazard losses in the United States,2011,Sustainability,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Regionalizing aquatic ecosystems based on the river subbasin taxonomy concept and spatial clustering techniques,2011,International Journal of Environmental Research and Public Health,in,Providing study background,,,,,,,,,,,,,,,,,
GlobalInferencer: Linking personal social content with data on the web,2011,AAAI Workshop - Technical Report,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
The care span: Complex medicare advantage choices may overwhelm seniors- especially those with impaired decision making,2011,Health Affairs,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Dietary walnut suppressed mammary gland tumorigenesis in the C(3)1 TAg mouse,2011,Nutrition and Cancer,in,Providing study background,,,,,,,,,,,,,,,,,
Build great web search applications quickly with Solr and Blacklight,2010,Proceedings of SPIE - The International Society for Optical Engineering,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Analysing the effects of forest cover and irrigation farm dams on streamflows ofwater-scarce catchments in south australia through the SWAT model,2017,Water (Switzerland),in,main data source for new analysis,,,,,,,,,,,,,,,,,
Clinical pharmacist-led diabetes management and education program effect on the arabic-speaking people in australia: A pilot study,2015,Jordan Journal of Pharmaceutical Sciences,in,Providing study background,,,,,,,,,,,,,,,,,
Clinicopathological predictors of benefit from adjuvant chemotherapy for stage C colorectal cancer: Microsatellite unstable cases benefit,2015,Asia-Pacific Journal of Clinical Oncology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Improving every child's chance in life,2013,"Proceedings - IEEE 13th International Conference on Data Mining Workshops, ICDMW 2013",in,Providing study background,,,,,,,,,,,,,,,,,
Querying and exploring polygamous relationships in urban spatio-temporal data sets,2017,Proceedings of the ACM SIGMOD International Conference on Management of Data,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
CityGuard: A watchdog for safety-aware conflict detection in smart cities,2017,"Proceedings - 2017 IEEE/ACM 2nd International Conference on Internet-of-Things Design and Implementation, IoTDI 2017 (part of CPS Week)",in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Estimating stormwater runoff for community gardens in New York City,2017,Urban Ecosystems,in,Providing study background,,,,,,,,,,,,,,,,,
Relationship between Recreational Resources in the School Neighborhood and Changes in Fitness in New York City Public School Students,2017,Journal of Urban Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
PublicSense: A Crowd Sensing Platform for Public Facility Management in Smart Cities,2017,"Proceedings - 13th IEEE International Conference on Ubiquitous Intelligence and Computing, 13th IEEE International Conference on Advanced and Trusted Computing, 16th IEEE International Conference on Scalable Computing and Communications, IEEE International Conference on Cloud and Big Data Computing, IEEE International Conference on Internet of People and IEEE Smart World Congress and Workshops, UIC-ATC-ScalCom-CBDCom-IoP-SmartWorld 2016",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,pdf may not be parsable.,,,,,,,,,,,,,,,
Material Based Urban Modeling: An Approach to Integrate Smart Materials in a Near-Zero Community Design,2017,Energy Procedia,in,main data source for new analysis,,,,,,,,,,,,,,,,,
There is More to Streamgraphs than Movies: Better Aesthetics via Ordering and Lassoing,2016,Computer Graphics Forum,in,main data source for new analysis,,,,,,,,,,,,,,,,,
NYC 311: A Tract-Level Analysis of Citizen鈥揋overnment Contacting in New York City,2016,Urban Affairs Review,in,main data source for new analysis,,,,,,,,,,,,,,,,,
An adaptive information-theoretic approach for identifying temporal correlations in big data sets,2016,"Proceedings - 2016 IEEE International Conference on Big Data, Big Data 2016",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Effects of skeletal streetscape design on perceived safety,2015,Landscape and Urban Planning,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Superstorm Sandy and the Demographics of Flood Risk in New York City,2015,Human Ecology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Urban streetscape design and crash severity,2015,Transportation Research Record,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Impact of a letter-grade program on restaurant sanitary conditions and diner behavior in New York City,2015,American Journal of Public Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Building energy modelling at urban scale: Integration of reduced order energy model with geographical information,2015,"14th International Conference of IBPSA - Building Simulation 2015, BS 2015, Conference Proceedings",in,Providing study background,,,,,,,,,,,,,,,,,
Urban data and building energy modeling: A GIS-based urban building energy modeling system using the urban-EPC engine,2015,Lecture Notes in Geoinformation and Cartography,in,Providing study background,,,,,,,,,,,,,,,,,
A noise map of New York City,2014,UbiComp 2014 - Adjunct Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Spectral clustering for sensing urban land use using Twitter activity,2014,Engineering Applications of Artificial Intelligence,in,"used for result evaluation (e.g., as ground truth)",,mutli-source,,,,,,,,,,,,,,,
Diagnosing New York city's noises with ubiquitous data,2014,UbiComp 2014 - Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Applying a novel urban structure classification to compare the relationships of urban structure and surface temperature in Berlin and New York City,2014,Applied Geography,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"An ecology of prestige in New York City: Examining the relationships among population density, socio-economic status, group identity, and residential canopy cover",2014,Environmental Management,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Occupancy patterns of Megascops asio in urban parks of New York City and southern Westchester County, NY, USA",2013,Journal of Natural History,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Characterizing urban landscapes using geolocated tweets,2012,"Proceedings - 2012 ASE/IEEE International Conference on Privacy, Security, Risk and Trust and 2012 ASE/IEEE International Conference on Social Computing, SocialCom/PASSAT 2012",in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Using LDA to Uncover the Underlying Structures and Relations in Smart City Data Streams,2017,IEEE Systems Journal,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
